Número registre,Nom establiment,Codi tipus establiment,Tipus establiment,Codi establiment pare,Titular,Telèfon,Codi tipus de via,Tipus de via,Nom de la via,Número de la via,Quilòmetre,Bloc,Portal,Escala,Pis,Porta,Codi postal,Codi municipi,Municipi,Article municipi,Codi comarca,Comarca,Codi província,Província,Codi ABS,ABS,Codi sector sanitari,Sector sanitari,Codi regió sanitària,Regió sanitària,Longitud,Latitud,Georeferència
R25000145,RAÏMAT,R,Farmaciola,F25012126,,973740268,CR,CARRER,MAJOR,15,,,,,,,25111,25120,LLEIDA,,33,SEGRIA,25,LLEIDA,334,Almacelles,6156,Lleida,61,Lleida,0.62803879,41.614728036,POINT (0.62803879 41.614728036)
V25562673,"BELLERA ÒPTICA, SL",V,Òptica,,"BELLERA OPTICA, SL",,CR,CARRER,VALLCALENT,28,,,,,,,25006,25120,LLEIDA,,33,SEGRIA,25,LLEIDA,137,Lleida - 3 Eixample,6156,Lleida,61,Lleida,0.617594614,41.617680643,POINT (0.617594614 41.617680643)
A17763450,ALAIN AFFLELOU,A,Audiopròtesi,,AAO OPTICO SAU,663958290,AV,AVINGUDA,ROSES,29,,,,,,,17600,17066,FIGUERES,,02,ALT EMPORDA,17,GIRONA,119,Figueres,6461,Girona Nord,64,Girona,2.98413483,42.266977231,POINT (2.98413483 42.266977231)
R17000226,MOLLO,R,Farmaciola,F17002216,,,CR,CARRER,SANT SEBASTIA,2,,,,,,,17868,17107,MOLLÓ,,31,RIPOLLES,17,GIRONA,092,Camprodon,6461,Girona Nord,64,Girona,2.404599123,42.346643612,POINT (2.404599123 42.346643612)
F08015720,"LLOBERAS ALSINA, ANNA",F,Farmàcia,,Anna Lloberas Alsina,933499070,CR,CARRER,HONDURES,63,,,,,,,08027,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,065,Barcelona - 09A,7855,Barcelona Sant Andreu,78,Barcelona,2.187667578,41.421340496,POINT (2.187667578 41.421340496)
V17716683,ÒPTICA RUEDA,V,Òptica,,"RUEDA-POU ÒPTICS, SL",,CR,CARRER,AUMET,50,,,,,,,17460,17049,CELRÀ,,20,GIRONES,17,GIRONA,101,Celrà,6462,Girona Sud,64,Girona,2.887448853,42.029092645,POINT (2.887448853 42.029092645)
V08534115,TRIÒPTIC,V,Òptica,,"TRIOPTIC, S.C.P.",,CR,CARRER,SANTA CATERINA,26,,,,,BX,,08700,08102,IGUALADA,,06,ANOIA,08,BARCELONA,371,Igualada - 1,6735,Anoia,67,Catalunya Central,1.615458996,41.581167407,POINT (1.615458996 41.581167407)
V17548196,MULTIÓPTICAS ROSES-2,V,Òptica,,"Òptiques Roses, SL",,CR,CARRER,DOCTOR FLEMING,39,,,,,,,17480,17152,ROSES,,02,ALT EMPORDA,17,GIRONA,189,Roses,6461,Girona Nord,64,Girona,3.178721453,42.265758523,POINT (3.178721453 42.265758523)
F25002914,"ALMANSA ARTIGA, MIQUEL",F,Farmàcia,,"ALMANSA ARTIGA, MIQUEL",973648219,CR,CARRER,EDUARD AUNOS,10,,,,,,,25550,25059,BOSSÒST,,39,VALL D´ARAN,25,LLEIDA,007,Aran,7107,Aran,71,Alt Pirineu i Aran,0.69090779,42.782589069,POINT (0.69090779 42.782589069)
F17000716,"FAJULA ROURA, JOAN",F,Farmàcia,,"FAJULA ROURA, JOAN",972260987,PL,PLAÇA,CONILL,3,,,,,,,17800,17114,OLOT,,19,GARROTXA,17,GIRONA,171,Olot,6461,Girona Nord,64,Girona,2.491394302,42.182746642,POINT (2.491394302 42.182746642)
F43000755,"PUNSOLA PALAU, MARC",F,Farmàcia,,"PUNSOLA PALAU, MARC",977844415,AV,AVINGUDA,PUIG I FERRATER,8A,,,,,,,43470,43145,LA SELVA DEL CAMP,,08,BAIX CAMP,43,TARRAGONA,354,La Selva del Camp,6259,Baix Camp - Priorat,62,Camp de Tarragona,1.140461768,41.212945315,POINT (1.140461768 41.212945315)
V17554707,ÒPTICA CADAQUÉS,V,Òptica,,"COLOMER COLL, PILAR",,CT,CARRETERA,PORT LLIGAT,28,,,,,,,17488,17032,CADAQUÉS,,02,ALT EMPORDA,17,GIRONA,189,Roses,6461,Girona Nord,64,Girona,3.276971897,42.288251552,POINT (3.276971897 42.288251552)
V08559127,ÒPTICA SANT POL,V,Òptica,,Laia Baquero Verge,,PL,PLAÇA,ESTACIO,2,,,,,,,08395,08235,SANT POL DE MAR,,21,MARESME,08,BARCELONA,093,Canet de Mar,6462,Girona Sud,64,Girona,2.624719426,41.601905348,POINT (2.624719426 41.601905348)
V08530576,"ÒPTICA SUPREM, S.C.P.",V,Òptica,,"OPTICA SUPREM, SCP",938863371,RB,RAMBLA,PASSEIG,24,,,,,,,08500,08298,VIC,,24,OSONA,08,BARCELONA,350,Vic - 1 Nord,6745,Osona,67,Catalunya Central,2.256413267,41.929974849,POINT (2.256413267 41.929974849)
A08764084,ESPAI VISUAL,A,Audiopròtesi,,EVA CAPDEVILA SECANELL,647903457,CR,CARRER,MOSSEN ANTON ROMEU,69,,,,,,,08912,08015,BADALONA,,13,BARCELONES,08,BARCELONA,273,Badalona - 02,7867,Barcelonès Nord i Maresme,78,Barcelona,2.246584557,41.444861021,POINT (2.246584557 41.444861021)
F17002329,"MARCE BADOSA, NURIA",F,Farmàcia,,"MARCE BADOSA, NURIA",972953405,AV,AVINGUDA,DE LA DIPUTACIÓ,3,,,,,,,17469,17074,FORTIÀ,,02,ALT EMPORDA,17,GIRONA,119,Figueres,6461,Girona Nord,64,Girona,3.031245109,42.242673662,POINT (3.031245109 42.242673662)
V17728128,ALAIN AFFLELOU,V,Òptica,,"PETIA VISION, SLU",673492933,CM,CAMI,DELS CARLINS  (CC Espai Gironés),10,,,,,,,17190,17155,SALT,,20,GIRONES,17,GIRONA,199,Salt,6462,Girona Sud,64,Girona,2.793186276,41.975053471,POINT (2.793186276 41.975053471)
F17000321,"VIDAL PONT, SANDRA",F,Farmàcia,,SANDRA VIDAL PONT,972502423,CR,CARRER,MONTURIOL,18,,,,,,,17600,17066,FIGUERES,,02,ALT EMPORDA,17,GIRONA,119,Figueres,6461,Girona Nord,64,Girona,2.963591737,42.267205307,POINT (2.963591737 42.267205307)
A08558807,OPTICA SUIZA,A,Audiopròtesi,,"Ullod Mayral, Mónica",,AV,AVINGUDA,FLORIDA,14,,,,,,,08130,08260,SANTA PERPÈTUA DE MOG,,40,VALLES OCCIDENTAL,08,BARCELONA,230,Santa Perpètua de Mogoda,7842,Vallès Oriental,78,Barcelona,2.18486596,41.530672143,POINT (2.18486596 41.530672143)
F08024587,"NOVELL REGUE, NURIA",F,Farmàcia,,Núria Novell Regué,935947195,CT,CARRETERA,DE BARCELONA,216,,,,,,,08290,08266,CERDANYOLA DEL VALLÈS,,40,VALLES OCCIDENTAL,08,BARCELONA,384,Cerdanyola - Ripollet,7844,Vallès Occidental Est,78,Barcelona,2.145373681,41.495306485,POINT (2.145373681 41.495306485)
F08007920,"SARDAR KUSSAYER, TAUFIQ-SAMI",F,Farmàcia,,Taufiq-Sami Sardar Kussayer,932143004,CR,CARRER,VALLDOREIX,7,,,,,,,08024,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,049,Barcelona - 06C,7852,Barcelona Gràcia,78,Barcelona,2.151158269,41.410015352,POINT (2.151158269 41.410015352)
F25010351,"BALAÑÀ BARÓ, LAURA",F,Farmàcia,,LAURA BALAÑA BARO,973231766,CR,CARRER,SANT MARTI,39,,,,,,,25004,25120,LLEIDA,,33,SEGRIA,25,LLEIDA,137,Lleida - 3 Eixample,6156,Lleida,61,Lleida,0.621508687,41.618486145,POINT (0.621508687 41.618486145)
V08552989,ÒPTICA TURÓ,V,Òptica,,Sílvia Batlle de Cabrera,,CR,CARRER,CALVET,58,,,,,,,08021,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,042,Barcelona - 05A,7850,Barcelona Sarrià - Sant Gervasi,78,Barcelona,2.142203631,41.395862857,POINT (2.142203631 41.395862857)
V08562828,"LLOBET ÒPTICS, CB",V,Òptica,,,,CR,CARRER,CONSELL DE CENT,352,,,,,,,08009,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,027,Barcelona - 02G,7851,Barcelona Eixample,78,Barcelona,2.169424162,41.393746262,POINT (2.169424162 41.393746262)
A17755925,COTTET ÒPTICS,A,Audiopròtesi,,Pere Monros Casas,936898421,CR,CARRER,Peralada,25,,,,,,,17600,17066,FIGUERES,,02,ALT EMPORDA,17,GIRONA,119,Figueres,6461,Girona Nord,64,Girona,,,
F08023689,"GUITO VILA, ANTONI",F,Farmàcia,,Antoni Guitó Vila,938320697,CR,CARRER,JACINT VERDAGUER,2,,,,,,,08251,08192,SANTPEDOR,,07,BAGES,08,BARCELONA,211,Navarcles - Sant Fruitós de Bages,6763,Solsonès - Bages - Berguedà,67,Catalunya Central,1.835968421,41.780812958,POINT (1.835968421 41.780812958)
F08000723,"PUJADAS PIULACHS,A/PUJADAS PIULACHS,X",F,Farmàcia,,Agustí Pujadas Piulachs (1%) i Xavier Pujadas Piulachs (1%),934495136,CR,CARRER,LLOBREGAT,136,,,,,,,08904,08101,HOSPITALET DE LLOBRE,L',13,BARCELONES,08,BARCELONA,291,L'Hospitalet de Llobregat - 04 Torrassa,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.12110816,41.370537522,POINT (2.12110816 41.370537522)
F08007937,"COSTA OLIVA, ESTHER",F,Farmàcia,,Esther Costa Oliva,934482439,CT,CARRETERA,DE COLLBLANC,75,,,,,,,08904,08101,HOSPITALET DE LLOBRE,L',13,BARCELONES,08,BARCELONA,290,L'Hospitalet de Llobregat - 03 Colblanc,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.116369625,41.375702684,POINT (2.116369625 41.375702684)
F43003315,"BONET SERRANO, JAUME",F,Farmàcia,,"BONET SERRANO, JAUME",977684069,AV,AVINGUDA,PALFURIANA,48,,,,,,,43700,43163,EL VENDRELL,,12,BAIX PENEDES,43,TARRAGONA,013,El Vendrell,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.541960922,41.183943481,POINT (1.541960922 41.183943481)
F08005707,"GARCIA-VELA GRAU,TERESA",F,Farmàcia,,Teresa García-Vela Grau,932137833,TS,TRAVESSERA,DE GRACIA,235,,,,,,,08012,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,047,Barcelona - 06A,7852,Barcelona Gràcia,78,Barcelona,2.161630161,41.403873052,POINT (2.161630161 41.403873052)
F08005496,"PERIS GRAU, JOAQUIM",F,Farmàcia,,Joaquim Peris Grau,933466056,CR,CARRER,LLENGUADOC,118,,,,,,,08030,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,395,Barcelona - 09H,7855,Barcelona Sant Andreu,78,Barcelona,2.184871797,41.430332891,POINT (2.184871797 41.430332891)
F08012045,"MERIDA DONOSO, SALVADOR",F,Farmàcia,,Salvador Mérida Donoso,934362343,CR,CARRER,LEPANT,330-332,,,,,,,08025,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,031,Barcelona - 02K,7851,Barcelona Eixample,78,Barcelona,2.173625867,41.406887544,POINT (2.173625867 41.406887544)
F17003107,"CANOVAS MORERA, SILVIA",F,Farmàcia,,"CANOVAS MORERA, SILVIA",972367960,CR,CARRER,SANT PERE,76,,,,,,,17310,17095,LLORET DE MAR,,34,SELVA,17,GIRONA,142,Lloret de Mar,6462,Girona Sud,64,Girona,2.845439757,41.702005214,POINT (2.845439757 41.702005214)
F08018696,"ANARTE SALVADOR, MA. DEL PRADO",F,Farmàcia,,Ma. del Prado Anarte Salvador,937851181,CR,CARRER,FRANÇA,20,,,,,,,08228,08279,TERRASSA,,40,VALLES OCCIDENTAL,08,BARCELONA,249,Terrassa - C,7843,Vallès Occidental Oest,78,Barcelona,2.043777089,41.538678715,POINT (2.043777089 41.538678715)
V08555404,CENTRO OPTICO BARCELONA,V,Òptica,,,,CR,CARRER,PROVENÇA,139,,,,,,,08036,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,025,Barcelona - 02E,7851,Barcelona Eixample,78,Barcelona,2.152496955,41.38813778,POINT (2.152496955 41.38813778)
A08556888,GAES UNA MARCA AMPLIFON,A,Audiopròtesi,,"AMPLIFON IBERICA, SAU",,RB,RAMBLA,JUST OLIVERES,36,,,,,,,08901,08101,HOSPITALET DE LLOBRE,L',13,BARCELONES,08,BARCELONA,288,L'Hospitalet de Llobregat - 01 Centre,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.101164152,41.361769186,POINT (2.101164152 41.361769186)
F43001967,"FREIXAS BAZACO, MARIA",F,Farmàcia,,"FREIXAS BAZACO, MARIA",977311359,AV,AVINGUDA,DE RIUDOMS,14,,,,,,,43201,43123,REUS,,08,BAIX CAMP,43,TARRAGONA,304,Reus - 2,6259,Baix Camp - Priorat,62,Camp de Tarragona,1.096266474,41.152913029,POINT (1.096266474 41.152913029)
F08012038,"BALLART RUIZ, M LUZ",F,Farmàcia,,Ma. Luz Ballart Ruiz,933916653,CR,CARRER,ANSELM DE RIU,24,,,,,,,08924,08245,SANTA COLOMA DE GRAMEN,,13,BARCELONES,08,BARCELONA,224,Santa Coloma de Gramenet - 3,7867,Barcelonès Nord i Maresme,78,Barcelona,2.201442009,41.457669739,POINT (2.201442009 41.457669739)
F08001220,"VILARDELL GARRIGA, A.L.",F,Farmàcia,,Andreu Lluis Vilardell Garriga,937982550,AV,AVINGUDA,PUIG I CADAFALCH,256,,,,,,,08303,08121,MATARÓ,,21,MARESME,08,BARCELONA,156,Mataró - 5,7867,Barcelonès Nord i Maresme,78,Barcelona,2.423190623,41.540661636,POINT (2.423190623 41.540661636)
F25011059,"MOLA YUDEGO, LAURA.",F,Farmàcia,,LAURA MOLA YUDEGO,973279007,CR,CARRER,VALLCALENT,45,,,,,,,25006,25120,LLEIDA,,33,SEGRIA,25,LLEIDA,137,Lleida - 3 Eixample,6156,Lleida,61,Lleida,0.6173351,41.617622376,POINT (0.6173351 41.617622376)
A08708040,ALAIN AFFLELOU AUDIÒLEG,A,Audiopròtesi,,"BEREMA VISIO, SL",647605228,CR,CARRER,JACINT VERDAGUER,11,,,,,,,08500,08298,VIC,,24,OSONA,08,BARCELONA,350,Vic - 1 Nord,6745,Osona,67,Catalunya Central,2.252227427,41.930419462,POINT (2.252227427 41.930419462)
F08003812,RUSSO ALBERTO,F,Farmàcia,,ALBERTO RUSSO,934083453,CR,CARRER,SANT ANTONI MARIA CLARET,460,,,,,,,08027,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,067,Barcelona - 09C,7855,Barcelona Sant Andreu,78,Barcelona,2.185970589,41.419616496,POINT (2.185970589 41.419616496)
F08025171,"ICART NAVARRO, MARIA DEL CARME",F,Farmàcia,,M. del Carme Icart Navarro,937684138,CR,CARRER,ROSSELLO,18,,,,,,,08401,08096,GRANOLLERS,,41,VALLES ORIENTAL,08,BARCELONA,285,Granollers - 2 Nord,7842,Vallès Oriental,78,Barcelona,2.28903467,41.61481943,POINT (2.28903467 41.61481943)
V08538141,L'ÒPTICA UNIVERSITÀRIA,V,Òptica,,"ÒPTICA DEL PENEDÈS, S.L.",,CR,CARRER,MALADETA,31-33,,,,,,,08950,08077,ESPLUGUES DE LLOBREGAT,,11,BAIX LLOBREGAT,08,BARCELONA,116,Esplugues de Llobregat - 1,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.099304665,41.371239565,POINT (2.099304665 41.371239565)
V08715200,SOLOPTICAL VILADECANS,V,Òptica,,,,CR,CARRER,"DE LA VILA, CC The Style Outlet",90,,,,,,,08840,08301,VILADECANS,,11,BAIX LLOBREGAT,08,BARCELONA,000,No informat,0000,Desconegut,00,No informat,2.020807422,41.315893973,POINT (2.020807422 41.315893973)
F08020159,"LLANSO SANCHEZ, OSCAR",F,Farmàcia,,Oscar Llansó Sánchez,937611904,CR,CARRER,PONENT,8,,,,,,,08380,08110,MALGRAT DE MAR,,21,MARESME,08,BARCELONA,143,Malgrat de Mar,6462,Girona Sud,64,Girona,2.737302363,41.647305952,POINT (2.737302363 41.647305952)
F08017678,"SALVADOR SOLE, PALMIRA",F,Farmàcia,,Palmira Salvador Solé,933095057,CR,CARRER,MARINA,69,,,,,,,08005,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,071,Barcelona - 10A,7847,Barcelona Sant Martí,78,Barcelona,2.189736992,41.392310981,POINT (2.189736992 41.392310981)
P25561616,DISSALUD,P,Ortopèdia,,"Dissalud, SL",973044527,CR,CARRER,GIRONA,34,,,,,,,25005,25120,LLEIDA,,33,SEGRIA,25,LLEIDA,138,Lleida - 4 Balàfia - Pardinyes,6156,Lleida,61,Lleida,0.635163011,41.624273371,POINT (0.635163011 41.624273371)
V43507908,"ÒPTICA  DORADA, SL",V,Òptica,,"ÒPTICA DAURADA, SL",,VI,VIA,AUGUSTA,2,,,,,,,43840,43905,SALOU,,36,TARRAGONES,43,TARRAGONA,339,Salou,6258,Tarragonès - Baix Penedès,62,Camp de Tarragona,1.130412811,41.079222574,POINT (1.130412811 41.079222574)
F08021138,"PÉREZ MARTRA, PEP.",F,Farmàcia,,Pep Pérez Martra,937640455,CR,CARRER,EMILI VENDRELL,6,,,,,,,08490,08284,TORDERA,,21,MARESME,08,BARCELONA,336,Tordera,6462,Girona Sud,64,Girona,2.726586184,41.707328288,POINT (2.726586184 41.707328288)
F08015180,"SABATÉ BARBERO, MARTA",F,Farmàcia,,Marta Sabaté Barbero,935931535,CR,CARRER,MIGUEL DE CERVANTES,29,,,,,,,08100,08124,MOLLET DEL VALLÈS,,41,VALLES ORIENTAL,08,BARCELONA,349,Mollet del Vallès - 2 Oest,7842,Vallès Oriental,78,Barcelona,2.209198056,41.543088681,POINT (2.209198056 41.543088681)
V08717327,ÒPTICA VENDRELL,V,Òptica,,Jordi Vendrell Rived,934852182,CR,CARRER,LLULL,183,,,,,,,08005,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,072,Barcelona - 10B,7847,Barcelona Sant Martí,78,Barcelona,2.202035831,41.401043611,POINT (2.202035831 41.401043611)
V08519212,ÒPTICA COLL,V,Òptica,,Ma Rosa Coll Fornaguera,,CR,CARRER,BERENGUER III,31,,,,,,,08100,08124,MOLLET DEL VALLÈS,,41,VALLES ORIENTAL,08,BARCELONA,348,Mollet del Vallès - 1 Est,7842,Vallès Oriental,78,Barcelona,2.214962118,41.536702538,POINT (2.214962118 41.536702538)
F25013962,"OLIVA GISTAU, MONTSERRAT/VILA OLIVA, MONTSERRAT",F,Farmàcia,,"MONTSERRAT OLIVA GISTAU, MONTSERRAT VILA OLIVA",973782189,AV,AVINGUDA,LLEIDA,10,,,,,,,25185,25102,LA GRANJA D'ESCARP,,33,SEGRIA,25,LLEIDA,232,Seròs,6156,Lleida,61,Lleida,0.352316172,41.4199237,POINT (0.352316172 41.4199237)
A08556422,GAES CENTRES AUDITIUS,A,Audiopròtesi,,"AMPLIFON IBERICA, SAU",932857031,CR,CARRER,PI I MARGALL,9-11,,,,,,,08024,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,047,Barcelona - 06A,7852,Barcelona Gràcia,78,Barcelona,2.163018855,41.406398856,POINT (2.163018855 41.406398856)
A17734890,VISTAOPTICA CAMPDEVÀNOL,A,Audiopròtesi,,MIREIA SERRAT FOLCRÀ,972730242,CR,CARRER,MAJOR,6,,,,,,,17530,17036,CAMPDEVÀNOL,,31,RIPOLLES,17,GIRONA,343,Ribes de Freser - Campdevànol,6461,Girona Nord,64,Girona,2.16991949,42.224166371,POINT (2.16991949 42.224166371)
F08011080,"SECANELL CAMBRAS, XAVIER",F,Farmàcia,,Xavier Secanell Cambras,938035092,CR,CARRER,ODENA,84,,,,,,,08700,08102,IGUALADA,,06,ANOIA,08,BARCELONA,372,Igualada - 2,6735,Anoia,67,Catalunya Central,1.619841489,41.583888375,POINT (1.619841489 41.583888375)
F08004580,"SÁNCHEZ LLANAS, DAVID/MERINO CASAJUANA, MARTA",F,Farmàcia,,David Sánchez Llanas i Marta Merino Casajuana,934212719,CR,CARRER,OLZINELLES,21,,,,,,,08014,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,036,Barcelona - 03E,7849,Barcelona Sants - Montjuïc,78,Barcelona,2.136536229,41.373572109,POINT (2.136536229 41.373572109)
V17514528,ÒPTICA DEL BULEVARD ARGENTERIA,V,Òptica,,"ÒPTICA DEL BULEVARD ARGENTERIA, S.L.",,CR,CARRER,ARGENTERIA,19,,,,,,,17004,17079,GIRONA,,20,GIRONES,17,GIRONA,124,Girona - 1,6462,Girona Sud,64,Girona,2.824628483,41.985096464,POINT (2.824628483 41.985096464)
F08025118,"TORRES PEREZ, JORDI",F,Farmàcia,,Jordi Torres Pérez,935440868,AV,AVINGUDA,SANTIGA,32,,,,,,,08130,08260,SANTA PERPÈTUA DE MOG,,40,VALLES OCCIDENTAL,08,BARCELONA,230,Santa Perpètua de Mogoda,7842,Vallès Oriental,78,Barcelona,2.17939839,41.536845632,POINT (2.17939839 41.536845632)
P08711050,ESPAI DE SALUT I ORTOPEDIA CARRERA,P,Ortopèdia,,Rosa Ma. Carrera Graño,937264449,CT,CARRETERA,DE TERRASSA,389,,,,,,,08205,08187,SABADELL,,40,VALLES OCCIDENTAL,08,BARCELONA,196,Sabadell - 5,7844,Vallès Occidental Est,78,Barcelona,2.084671626,41.548371963,POINT (2.084671626 41.548371963)
F43001572,"GARCIA ARAGONES,FERNANDO",F,Farmàcia,,"GARCIA ARAGONES, FERNANDO",977823046,CR,CARRER,"VIA AUGUSTA, BULEVARD BLAU 6-B",34,,,,,,,43891,43162,VANDELLÒS I L'HOSPITA,,08,BAIX CAMP,43,TARRAGONA,324,Vandellòs i l'Hospitalet de l'Infant,6259,Baix Camp - Priorat,62,Camp de Tarragona,0.832171347,41.019577052,POINT (0.832171347 41.019577052)
F08017188,PELLICER LOPEZ/MIRALLES ROSET,F,Farmàcia,,Oscar Pellicer Lòpez  (99%) i Montserrat Miralles Roset  (1%),933451061,CR,CARRER,JORBA,27,,,,,,,08030,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,395,Barcelona - 09H,7855,Barcelona Sant Andreu,78,Barcelona,2.186618343,41.43633839,POINT (2.186618343 41.43633839)
F08009116,"LLINARES RECHE, TERESA/SANZ LOPEZ, M. CARME",F,Farmàcia,,Ma. Teresa Llinares Reche i Ma. Carme Sanz López,932842324,CR,CARRER,BISMARK,2,,,,,,,08024,08019,BARCELONA,,13,BARCELONES,08,BARCELONA,051,Barcelona - 07A,7853,Barcelona Horta - Guinardó,78,Barcelona,2.161121472,41.414963309,POINT (2.161121472 41.414963309)
A08557183,GAES CENTRES AUDITIUS,A,Audiopròtesi,,"AMPLIFON IBERICA, SAU",936801635,AV,AVINGUDA,BARCELONA,30,,,,,,,08750,08123,MOLINS DE REI,,11,BAIX LLOBREGAT,08,BARCELONA,160,Molins de Rei,7866,Baix Llobregat Centre - Litoral i L'Hospitalet de Llobregat,78,Barcelona,2.020084062,41.409225687,POINT (2.020084062 41.409225687)
F43000106,"FORCADELL ALUCHA, MARIA.",F,Farmàcia,,MARIA FORCADELL ALUCHA,977700483,CR,CARRER,GRAO,49,,,,,,,43870,43014,AMPOSTA,,22,MONTSIA,43,TARRAGONA,004,Amposta,6360,Terres de l'Ebre,63,Terres de l'Ebre,0.576489005,40.714784849,POINT (0.576489005 40.714784849)
F08001195,"ROCA ALBERO, M. PILAR",F,Farmàcia,,Ma. Pilar Roca Albero,937901957,CR,CARRER,NOU,1-3,,,,,,,08301,08121,MATARÓ,,21,MARESME,08,BARCELONA,153,Mataró - 2,7867,Barcelonès Nord i Maresme,78,Barcelona,2.444318998,41.540873507,POINT (2.444318998 41.540873507)
F08020984,"JUVES VIDAL, PERE",F,Farmàcia,,Pere Juvés Vidal,938970243,CR,CARRER,MILA I FONTANALS,18-20,,,,,,,08798,08206,SANT CUGAT SESGARRIGUE,,03,ALT PENEDES,08,BARCELONA,405,Penedès rural - Est,7865,Alt Penedès - Garraf,78,Barcelona,1.752868189,41.362548928,POINT (1.752868189 41.362548928)
